,Unnamed: 0,Name,Token Address,Num Holders
75,75,Viberate,0x2c974b2d0ba1716e644c1fc59982a89ddd2ff724,10839
76,76,Internxt,0x4a8f5f96d5436e43112c2fbc6a9f70da9e4e16d4,649
77,77,Everex,0xf3db5fa2c66b7af3eb0c0b782510816cbe4813b8,7821
78,78,Cindicator,0xd4c435f5b09f855c3317c8524cb1f586e42795fa,29591
79,79,Enigma,0xf0ee6b27b759c9893ce4f094b49ad28fd15a23e4,10944
80,80,Zeusshield,0x7A41e0517a5ecA4FdbC7FbebA4D4c47B9fF6DC63,60084
81,81,AirSwap,0x27054b13b1b798b345b591a4d22e6562d47ea75a,13340
82,82,DomRaider,0x9af4f26941677c706cfecf6d3379ff01bb85d5ab,8607
83,83,Request,0x8f8221afbb33998d8584a2b05749ba73c37a938a,42684
84,84,Blue Protocol,0x539efe69bcdd21a83efd9122571a64cc25e0282b,4385
85,85,KuCoin Token,0xf34960d9d60be18cc1d5afc1a6f012a723a28811,8296
86,86,EXRNchain,0xe469c4473af82217b30cf17b10bcdb6c8c796e75,5854
87,87,LATOKEN,0xe50365f5d679cb98a1dd62d6f6e58e59321bcddf,4242
88,88,Ripio Credit Network,0xf970b8e36e23f7fc3fd752eea86f8be8d83375a6,24158
89,89,JavaScript Token,0x5046e860ff274fb8c66106b0ffb8155849fb0787,1527
90,90,iEthereum,0x859a9c0b44cb7066d956a958b0b82e54c9e44b4b,4517
91,91,HOPE,0xac3211a5025414af2866ff09c23fc18bc97e79b1,7493
92,92,Etherparty,0xea38eaa3c86c8f9b751533ba2e562deb9acded40,62531
93,93,FlypMe,0x8f0921f30555624143d427b340b1156914882c10,1002
94,94,iBTC,0xb7c4a82936194fee52a4e3d4cec3415f74507532,158
95,95,Powerledger,0x595832f8fc6bf59c85c527fec3740a1b7a361269,54778
96,96,Revain,0x2ef52Ed7De8c5ce03a4eF0efbe9B7450F2D7Edc9,91586
97,97,ATLANT,0x78b7fada55a64dd895d8c8c35779dd8b67fa8a05,6774
98,98,Streamr,0x8f693ca8d21b157107184d29d398a8d082b38b76,4093
99,99,ELTCOIN,0x44197a4c44d6a059297caf6be4f7e172bd56caaf,2760
100,100,Autonio,0xc813EA5e3b48BEbeedb796ab42A30C5599b01740,2347
101,101,Raiden Network Token,0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6,17230
102,102,Delphy,0x6c2adc2073994fb2ccc5032cc2906fa221e9b391,6258
103,103,ERC20,0xCDD981ef3330E159029e6E226dbD73d99F868f4d,280
104,104,Upfiring,0xea097a2b1db00627b2fa17460ad260c016016977,11157
105,105,Privatix,0x3adfc4999f77d04c8341bac5f3a76f58dff5b37a,1655
106,106,Paypex,0x62a56a4a2ef4d355d34d10fbf837e747504d38d4,746
107,107,EncrypGen,0xef6344de1fcfC5F48c30234C16c1389e8CdC572C,3012
108,108,Quantstamp,0x99ea4db9ee77acd40b119bd1dc4e33e1c070b80d,38543
109,109,QASH,0x618e75ac90b12c6049ba3b27f5d5f8651b0037f6,12777
110,110,BLOCKv,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,9903
111,111,Flixxo,0xf04a8ac553fcedb5ba99a64799155826c136b0be,2923
112,112,EventChain,0xb62d18dea74045e822352ce4b3ee77319dc5ff2f,22372
113,113,Ccore,0x679badc551626e01b23ceecefbc9b877ea18fc46,748
114,114,Dragonchain,0x419c4db4b9e25d6db2ad9691ccb832c8d9fda05e,39489
115,115,Presearch,0xEC213F83defB583af3A000B1c0ada660b1902A0F,21477
116,116,BlockCDN,0x1e797Ce986C3CFF4472F7D38d5C4aba55DfEFE40,33244
117,117,Cappasity,0x11613b1f840bb5A40F8866d857e24DA126B79D73,7744
118,118,Eroscoin,0x74ceda77281b339142a36817fa5f9e29412bab85,1738
119,119,Bonpay,0xcc34366e3842ca1bd36c1f324d15257960fcc801,1102
120,120,Uquid Coin,0x8806926ab68eb5a7b909dcaf6fdbe5d93271d6e2,9776
121,121,MediShares,0x66186008C1050627F979d464eABb258860563dbE,15187
122,122,SmartMesh,0x55f93985431fc9304077687a35a1ba103dc1e081,7378
123,123,Playkey,0x2604fa406be957e542beb89e6754fcde6815e83f,10440
124,124,MicroMoney,0x8b1f49491477e0fb46a29fef53f1ea320d13c349,34218
125,125,LockTrip,0x5e3346444010135322268a4630d2ed5f8d09446c,33907
126,126,Worldcore,0x72adadb447784dd7ab1f472467750fc485e4cb2d,29199
127,127,Genaro Network,0x6ec8a24cabdc339a06a172f8223ea557055adaa5,40512
128,128,Starbase,0xf70a642bd387f94380ffb90451c2c81d4eb82cbc,5559
129,129,OST,0x2c4e8f2d746113d0696ce89b35f0d8bf88e0aeca,12447
130,130,StormX,0xa62cc35625b0c8dc1faea39d33625bb4c15bd71c,11560
131,131,aelf,0xbf2179859fc6D5BEE9Bf9158632Dc51678a4100e,51241
132,132,NAGA,0x72dd4b6bd852a3aa172be4d6c5a6dbec588cf131,47617
133,133,Bread,0x558ec3152e2eb2174905cd19aea4e34a23de9ad6,28843
134,134,Bibox Token,0x009c43b42aefac590c719e971020575974122803,521
135,135,Bounty0x,0xd2d6158683aee4cc838067727209a0aaf4359de3,20452
136,136,SIRIN LABS Token,0x68d57c9a1c35f63e2c83ee8e49a64e9d70528d25,26319
137,137,Neumark,0xa823e6722006afe99e91c30ff5295052fe6b8e32,2375
138,138,xMoney,0xdc9Ac3C20D1ed0B540dF9b1feDC10039Df13F99c,23005
139,139,HEROcoin,0xe477292f1b3268687a29376116b0ed27a9c76170,7962
140,140,BigONE Token,0x946551dd05c5abd7cc808927480225ce36d8c475,814
141,141,Game.com,0xB70835D7822eBB9426B56543E391846C107bd32C,14248
142,142,SwftCoin,0x0bb217E40F8a5Cb79Adf04E1aAb60E5abd0dfC1e,26960
143,143,AppCoins,0x1a7a8bd9106f2b8d977e08582dc7d24c723ab0db,11205
144,144,Measurable Data Token,0x814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26,28551
145,145,Mixin,0xa974c709cfb4566686553a20790685a47aceaa33,20180
146,146,GET Protocol,0x8a854288a5976036a725879164ca3e91d30c6a1b,14325
147,147,Zap,0x6781a0f84c7e9e846dcb84a9a5bd49333067b104,5746
148,148,TokenClub,0x4824a7b64e3966b0133f4f4ffb1b9d6beb75fff7,24426
149,149,Aigang,0x1063ce524265d5a3a624f4914acd573dd89ce988,2116
150,150,United Traders Token,0x16f812be7fff02caf662b85d5d58a5da6572d4df,1355
151,151,Kcash,0x32d74896f05204d1b6ae7b0a3cebd7fc0cd8f9c7,14063
152,152,EchoLink,0xa6a840e50bcaa50da017b91a0d86b8b2d41156ee,18115
153,153,Telcoin,0x467bccd9d29f223bce8043b84e8c8b282827790f,45208
154,154,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,966213
155,155,SelfKey,0x4cc19356f2d37338b9802aa8e8fc58b0373296e7,17851
156,156,AICHAIN,0x79650799e7899a802cb96c0bc33a6a8d4ce4936c,102906
157,157,SpaceChain,0x86ed939b500e121c0c5f493f399084db596dad20,2622
158,158,ArbitrageCT,0x1245ef80f4d9e02ed9425375e8f649b9221b31d8,1448
159,159,VouchForMe,0x64CdF819d3E75Ac8eC217B3496d7cE167Be42e80,3509
160,160,SingularityNET,0x5B7533812759B45C2B44C19e320ba2cD2681b542,80650
161,161,Scry.info,0x9F5F3CFD7a32700C93F971637407ff17b91c7342,32407
162,162,Hydro Protocol,0x9af839687f6c94542ac5ece2e317daae355493a1,26395
163,163,Double-A Chain,0xe75ad3aab14e4b0df8c5da4286608dabb21bd864,8609
164,164,CRYPTO20,0x26e75307fc0c021472feb8f727839531f112f317,11685
165,165,Crypterium,0x08389495D7456E1951ddF7c3a1314A4bfb646d8B,4519
166,166,Tokenbox,0x3a92bd396aef82af98ebc0aa9030d25a23b11c6b,1825
167,167,Odyssey,0x4092678e4E78230F46A1534C0fbc8fA39780892B,235956
168,168,indaHash,0x5136C98A80811C3f46bDda8B5c4555CFd9f812F0,18259
169,169,AidCoin,0x37e8789bb9996cac9156cd5f5fd32599e6b91289,26904
170,170,BUX Token,0x9A584ca70FF5fa46c511B7Bd1A953d5a4BFFC3B8,16
171,171,Moola,0xdD0020B1D5Ba47A54E2EB16800D73Beb6546f91A,486
172,172,OriginTrail,0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f,19950
