Name,Token Address,Num Holders
Kcash,0x32d74896f05204d1b6ae7b0a3cebd7fc0cd8f9c7,14063.0
EchoLink,0xa6a840e50bcaa50da017b91a0d86b8b2d41156ee,18115.0
Telcoin,0x467bccd9d29f223bce8043b84e8c8b282827790f,45208.0
WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,966213.0
SelfKey,0x4cc19356f2d37338b9802aa8e8fc58b0373296e7,17851.0
AICHAIN,0x79650799e7899a802cb96c0bc33a6a8d4ce4936c,102906.0
SingularityNET,0x5B7533812759B45C2B44C19e320ba2cD2681b542,80650.0
Scry.info,0x9F5F3CFD7a32700C93F971637407ff17b91c7342,32407.0
Hydro Protocol,0x9af839687f6c94542ac5ece2e317daae355493a1,26395.0
CRYPTO20,0x26e75307fc0c021472feb8f727839531f112f317,11685.0
Odyssey,0x4092678e4E78230F46A1534C0fbc8fA39780892B,235956.0
indaHash,0x5136C98A80811C3f46bDda8B5c4555CFd9f812F0,18259.0
AidCoin,0x37e8789bb9996cac9156cd5f5fd32599e6b91289,26904.0
OriginTrail,0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f,19950.0
LinkEye,0xfa3118b34522580c35ae27f6cf52da1dbb756288,69944.0
Ruff,0xf278c1ca969095ffddded020290cf8b5c424ace2,51633.0
CoinFi,0x3136ef851592acf49ca4c825131e364170fa32b3,63257.0
Polymath,0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec,101579.0
Huobi Token,0x6f259637dcd74c767781e37bc6133cd6a68aa161,52783.0
Bluzelle,0x5732046a883704404f284ce41ffadd5b007fd668,27849.0
WePower,0x4CF488387F035FF08c371515562CBa712f9015d4,51339.0
Neurotoken,0x69beab403438253f13b6e92db91f7fb849258263,15943.0
Gems,0xc7bba5b765581efb2cdd2679db5bea9ee79b201f,12594.0
Ren,0x408e41876cccdc0f92210600ef50372656052a38,63048.0
Arcblock,0xb98d4c97425d9908e66e53a6fdf673acca0be986,20359.0
IHT Real Estate Protocol,0xEda8B016efA8b1161208Cf041cD86972eeE0F31E,61428.0
Refereum,0xd0929d411954c47438dc1d871dd6081f5c5e149c,64628.0
Lympo,0xc690f7c7fcffa6a82b79fab7508c466fefdfc8c5,75674.0
TrueUSD,0x0000000000085d4780B73119b644AE5ecd22b376,51543.0
StarterCoin,0x9a005c9a89bd72a4bd27721e7a09a3c11d2b03c4,14032.0
Electrify.Asia,0xd49ff13661451313ca1553fd6954bd1d9b6e02b9,127360.0
TE-FOOD,0x2ab6bb8408ca3199b8fa6c92d5b455f820af03c4,11068.0
Synthetix,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,89702.0
NANJCOIN,0xffe02ee4c69edf1b340fcad64fbd6b37a7b9e265,13658.0
Pundi X (Old),0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,68167.0
BlitzPick,0x28dee01d53fed0edf5f6e310bf8ef9311513ae40,21936.0
Friendz,0x23352036e911a22cfc692b5e2e196692658aded9,43112.0
ODEM,0xbf52f2ab39e26e0951d2a02b49b7702abe30406a,14806.0
CyberVein,0xbe428c3867f05dea2a89fc76a102b544eac7f772,52185.0
eosDAC,0x7e9e431a0b8c4d532c745b1043c7fa29a48d4fba,97090.0
U Network,0x3543638ed4a9006e4840b105944271bcea15605d,19002.0
Smart MFG,0x6710c63432a2de02954fc0f851db07146a6c0312,10008.0
Linker Coin,0x6BEB418Fc6E1958204aC8baddCf109B8E9694966,13607.0
Holo,0x6c6ee5e31d828de241282b9606c8e98ea48526e2,119278.0
Rublix,0xFc2C4D8f95002C14eD0a7aA65102Cac9e5953b5E,27902.0
Nexo,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,78786.0
Celsius,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,30590.0
Morpheus Labs,0x4a527d8fc13c5203ab24ba0944f4cb14658d1db6,112100.0
MyToken,0x9b4e2b4b13d125238aa0480dd42b4f6fc71b37cc,36270.0
Skrumble Network,0x048fe49be32adfc9ed68c37d32b5ec9df17b3603,11521.0
Global Social Chain,0x228ba514309ffdf03a81a205a6d040e429d6e80c,58681.0
Unibright,0x8400d94a5cb0fa0d041a3788e395285d61c9ee5e,22818.0
Cred,0xfe5f141bf94fe84bc28ded0ab966c16b17490657,33197.0
Open Platform,0x9d86b1b2554ec410eccffbf111a6994910111340,57046.0
Morpheus.Network,0xd3E4Ba569045546D09CF021ECC5dFe42b1d7f6E4,14773.0
XYO,0x55296f69f40ea6d20e478533c15a6b08b654e758,90784.0
Digitex,0xc666081073e8dff8d3d1c2292a29ae1a2153ec09,14773.0
SPINDLE,0x1dEa979ae76f26071870F824088dA78979eb91C8,23447.0
QuarkChain,0xea26c4ac16d4a5a106820bc8aee85fd0b7b2b664,10161.0
Abyss,0x0e8d6b471e332f140e7d9dbb99e5e3822f728da6,11328.0
CEEK VR,0xb056c38f6b7dc4064367403e26424cd2c60655e1,23647.0
XMax,0x0f8c45b896784a1e408526b9300519ef8660209c,146330.0
Smartshare,0x624d520bab2e4ad83935fa503fb130614374e850,36772.0
Sentinel Protocol,0xc86d054809623432210c107af2e3f619dcfbf652,18725.0
Aurora,0x9ab165d795019b6d8b3e971dda91071421305e5a,102305.0
Zus,0xb9ef770b6a5e12e45983c5d80545258aa38f3b78,24696.0
Bob's Repair,0xdf347911910b6c9a4286ba8e2ee5ea4a39eb2134,25994.0
KanadeCoin,0x8E5610ab5E39d26828167640EA29823fe1dD5843,31932.0
Mainframe,0xdf2c7238198ad8b389666574f2d8bc411a4b7428,27560.0
FansTime,0x943ed852dadb5c3938ecdc6883718df8142de4c8,141274.0
Essentia,0xfc05987bd2be489ACCF0f509E44B0145d68240f7,22063.0
Karatgold Coin,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a,21275.0
HashCoin,0x2bba3cf6de6058cc1b4457ce00deb359e2703d7f,30143.0
sUSD,0x57Ab1ec28D129707052df4dF418D58a2D46d5f51,15061.0
BitKan,0x1410434b0346f5be678d0fb554e5c7ab620f8f4a,54606.0
Hashgard,0x5c64031c62061865e5fd0f53d3cdaef80f72e99d,10582.0
Rocket Pool,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,10354.0
ContentBox,0x63f584fa56e60e4d0fe8802b27c7e6e3b33e007f,30302.0
SoPay,0x076641af1b8f06b7f8c92587156143c109002cbe,229769.0
Kryll,0x464eBE77c293E473B48cFe96dDCf88fcF7bFDAC0,12934.0
MVL,0xa849eaae994fb86afa73382e9bd88c2b6b18dc71,11607.0
AVINOC,0xf1ca9cb74685755965c7458528a36934df52a3ef,148144.0
IGToken,0x8a88f04e0c905054d2f33b26bb3a46d7091a039a,112454.0
GSENetwork,0xe530441f4f73bDB6DC2fA5aF7c3fC5fD551Ec838,305354.0
SiaCashCoin,0x74fd51a98a4a1ecbef8cc43be801cce630e260bd,129662.0
DxChain Token,0x973e52691176d36453868D9d86572788d27041A9,11525.0
Ubex,0x6704b673c70de9bf74c8fba4b4bd748f0e2190e1,15378.0
Blockpass,0xee4458e052b533b1aabd493b5f8c4d85d7b263dc,70019.0
Netkoin,0x5d4d57cd06fa7fe99e26fdc481b468f77f05073c,14024.0
Quant,0x4a220e6096b25eadb88358cb44068a3248254675,152630.0
PumaPay,0x846c66cf71c43f80403b51fe3906b3599d63336f,16716.0
ShowHand,0x48c1b2f3efa85fbafb2ab951bf4ba860a08cdbb7,54538.0
HitChain,0x7995ab36bB307Afa6A683C24a25d90Dc1Ea83566,11478.0
DAV Coin,0xd82df0abd3f51425eb15ef7580fda55727875f14,18653.0
Moneytoken,0x13119e34e140097a507b07a5564bde1bc375d9e6,60254.0
MINDOL,0x5d64d850c8368008afb39224e92ad0dceff3cf38,20121.0
Gemini Dollar,0x056Fd409E1d7A124BD7017459dFEa2F387b6d5Cd,20050.0
Pax Dollar,0x8e870d67f660d95d5be530380d0ec0bd388289e1,111470.0
QChi,0x687bfc3e73f6af55f0ccca8450114d107e781a0e,11140.0
FREEdom Coin,0x2f141ce366a2462f02cea3d12cf93e4dca49e4fd,47196.0
USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1949136.0
Zenswap Network Token,0xe95990825aab1a7f0af4cc648f76a3bcc99f25b2,17837.0
CryptoSoul,0xbb1f24c0c1554b9990222f036b0aad6ee4caec29,65210.0
Breezecoin,0x77c07555af5ffdc946fb47ce15ea68620e4e7170,10532.0
Ethereum Meta,0xfd957f21bd95e723645c07c48a2d8acb8ffb3794,11307.0
Hippocrat,0xfE39C384D702914127a005523f9915ADDB9bd59b,11986.0
VestChain,0x37f04d2c3ae075fad5483bb918491f656b12bdb6,29220.0
Livepeer,0x58b6a8a3302369daec383334672404ee733ab239,2215338.0
Lambda,0x8971f9fd7196e5cee2c1032b50f656855af7dd26,18018.0
Atomic Wallet Coin,0xad22f63404f7305e4713ccbd4f296f34770513f4,47138.0
Wrapped Bitcoin,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,86417.0
SOLVE,0x446c9033e7516d820cc9a2ce2d0b7328b579406f,13791.0
The Currency Analytics,0xaff84e86d72edb971341a6a66eb2da209446fa14,12940.0
Scanetchain,0xadf8b8050639b6236915f7516d69de714672f0bf,10722.0
CustomContractNetwork,0x17b26400621695c2d8c2d8869f6259e82d7544c4,10362.0
CoTrader,0x5c872500c00565505f3624ab435c222e558e9ff8,50882.0
Ankr,0x8290333cef9e6d528dd5618fb97a76f268f3edd4,47447.0
ZEON,0xe5b826ca2ca02f09c1725e9bd98d9a8874c30532,33496.0
Celer Network,0x4f9254c83eb525f9fcf346490bbb3ed28a81c667,21083.0
Verasity,0xf411903cbc70a74d22900a5de66a2dda66507255,86079.0
WHEN Token,0xf4fe95603881d0e07954fd7605e0e9a916e42c44,21141.0
ChangeNOW Token,0xe9a95d175a5f4c9369f3b74222402eb1b837693b,13554.0
OKB,0x75231f58b43240c9718dd58b4967c5114342a86c,52603.0
Ocean Protocol,0x967da4048cd07ab37855c090aaf366e4ce1b9f48,54728.0
IDEX,0xb705268213d593b8fd88d3fdeff93aff5cbdcfae,15639.0
CNNS,0x6c3be406174349cfa4501654313d97e6a31072e1,27115.0
SparkPoint,0x0488401c3f535193fa8df029d9ffe615a06e74e6,16775.0
Carry,0x115eC79F1de567eC68B7AE7eDA501b406626478e,29698.0
Reserve Rights,0x320623b8e4ff03373931769a31fc52a4e78b5d70,17634.0
STP,0xde7d85157d9714eadf595045cc12ca4a5f3e2adb,15506.0
ARPA,0xba50933c268f567bdc86e1ac131be072c6b0b71a,11497.0
Ampleforth,0xd46ba6d942050d489dbd938a2c909a5d5039a161,35702.0
Chiliz,0x3506424f91fd33084466f402d5d97f05f8e3b4af,122130.0
ETHplode,0xe0c6ce3e73029f201e5c0bedb97f67572a93711c,43002.0
Dusk,0x940a2db1b7008b6c776d4faaca729d6d4a4aa551,17822.0
ForTube,0x1fcdce58959f536621d76f5b7ffb955baa5a672f,22383.0
Akropolis,0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,16608.0
Realio Network,0xf21661d0d1d76d3ecb8e1b9f1c923dbfffae4097,19024.0
Ultra,0xd13c7342e1ef687c5ad21b27c2b65d772cab5c8c,26708.0
Syntropy,0xa8c8CfB141A3bB59FEA1E2ea6B79b5ECBCD7b6ca,12316.0
MixMarvel,0x5d285f735998f36631f678ff41fb56a10a4d0429,10238.0
VIDY,0xc77b230f31b517f1ef362e59c173c2be6540b5e8,12003.0
Vectorspace AI,0x7D29A64504629172a429e64183D6673b9dAcbFCe,15795.0
Tepleton,0x2e65e12b5f0fd1d58738c6f38da7d57f5f183d1c,67077.0
Band Protocol,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,35245.0
Rupiah Token,0x998FFE1E43fAcffb941dc337dD0468d52bA5b48A,10161.0
PAX Gold,0x45804880de22913dafe09f4980848ece6ecbaf78,31683.0
XcelToken Plus,0x8c4e7f814d40f8929f9112c5d09016f923d34472,101811.0
Tokenize Xchange,0x667102BD3413bFEaa3Dffb48fa8288819E480a88,50191.0
NuCypher,0x4fe83213d56308330ec302a8bd641f1d0113a4cc,25038.0
VNDC,0x1f3f677ecc58f6a1f9e2cf410df4776a8546b5de,223917.0
ZUM TOKEN,0xe0b9bcd54bf8a730ea5d3f1ffce0885e911a502c,16422.0
Era Swap,0xef1344bdf80bef3ff4428d8becec3eea4a2cf574,16965.0
Kuverit,0xf70d160102cf7a22c1e432d6928a9d625db91170,16043.0
Dai,0x6b175474e89094c44da98b954eedeac495271d0f,499427.0
LCX,0x037a54aab062628c9bbae1fdb1583c195585fe41,24014.0
FirmaChain,0xe1bad922f84b198a08292fb600319300ae32471b,12498.0
HEX,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,333053.0
Orchid,0x4575f41308EC1483f3d399aa9a2826d74Da13Deb,45791.0
Tap,0x6368e1E18c4C419DDFC608A0BEd1ccb87b9250fc,18574.0
Origin Protocol,0x8207c1ffc5b6804f6024322ccf34f29c3541ae26,45803.0
AfroDex,0x08130635368AA28b217a4dfb68E1bF8dC525621C,25574.0
PYRO Network,0x14409b0fc5c7f87b5dad20754fe22d29a3de8217,23571.0
KOK,0x9b9647431632af44be02ddd22477ed94d14aacaa,184955.0
Compound Dai,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,17601.0
BTSE Token,0x666d875c600aa06ac1cf15641361dec3b00432ef,18168.0
PEAKDEFI,0x630d98424efe0ea27fb1b3ab7741907dffeaad78,11088.0
PARSIQ,0x362bc847A3a9637d3af6624EeC853618a43ed7D2,15920.0
DEAPcoin,0x1a3496c18d558bd9c6c8f609e1b129f67ab08163,22609.0
Cartesi,0x491604c0fdf08347dd1fa4ee062a822a5dd06b5d,20539.0
WiBX,0xbb97e381f1d1e94ffa2a5844f6875e6146981009,16794.0
Keep Network,0x85eee30c52b0b379b046fb0f85f4f3dc3009afec,10554.0
MATH,0x08d967bb0134f2d07f7cfb6e246680c53927dd30,13351.0
UMA,0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828,21528.0
LUKSO (Old),0xA8b919680258d369114910511cc87595aec0be6D,13902.0
Orion,0x0258F474786DdFd37ABCE6df6BBb1Dd5dfC4434a,11095.0
PointPay,0x95aa5d2dbd3c16ee3fdea82d5c6ec3e38ce3314f,10539.0
Render,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,62818.0
SKALE,0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7,25645.0
Compound,0xc00e94cb662c3520282e6f5717214004a7f26888,218571.0
Balancer,0xba100000625a3754423978a60c9317c58a424e3D,47443.0
SORA,0x40FD72257597aA14C7231A7B1aaa29Fce868F677,13587.0
Smooth Love Potion,0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25,59877.0
TrustSwap,0xcc4304a31d09258b0029ea7fe63d032f52e44efe,19210.0
yearn.finance,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,52744.0
DEXTools,0xfb7b4564402e5500db5bb6d63ae671302777c75a,17915.0
Rarible,0xfca59cd816ab1ead66534d82bc21e7515ce441cf,24137.0
DFI.Money,0xa1d0E215a23d7030842FC67cE582a6aFa3CCaB83,13027.0
Student Coin,0x15b543e986b8c34074dfc9901136d9355a537e7e,12179.0
Shiba Inu,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,1381982.0
DIA,0x84ca8bc7997272c7cfb4d0cd3d55cd942b3c9419,22579.0
Suku,0x0763fdCCF1aE541A5961815C0872A8c5Bc6DE4d7,12623.0
The Sandbox,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,215297.0
Arcona,0x0f71b8de197a1c84d31de0f1fa7926c365f052b3,23304.0
SocialGood,0xddf7fd345d54ff4b40079579d4c4670415dbfd0a,21479.0
Strong,0x990f341946a3fdb507ae7e52d17851b87168017c,34885.0
Curve DAO Token,0xD533a949740bb3306d119CC777fa900bA034cd52,83596.0
Sperax,0xB4A3B0Faf0Ab53df58001804DdA5Bfc6a3D59008,10381.0
The Graph,0xc944e90c64b2c07662a292be6244bdf05cda44a7,153267.0
Chain Games,0xC4C2614E694cF534D407Ee49F8E44D125E4681c4,18057.0
SushiSwap,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,121021.0
Axie Infinity,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,79024.0
Harvest Finance,0xa0246c9032bC3A600820415aE600c6388619A14D,15063.0
Amp,0xff20817765cb7f73d4bde2e66e067e58d11095c2,96708.0
Perpetual Protocol,0xbc396689893d065f41bc2c6ecbee5e0085233447,12357.0
Frax Share,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,17338.0
Alchemy Pay,0xed04915c23f00a313a544955524eb7dbd823143d,27984.0
DeFi Pulse Index,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,15514.0
Gala,0xd1d2Eb1B1e90B638588728b4130137D262C87cae,219001.0
Uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,377590.0
Linear Finance,0x3e9bc21c9b189c09df3ef1b824798658d5011937,15557.0
PancakeSwap,0x152649eA73beAb28c5b49B26eb48f7EAD6d4c898,11083.0
Bidao,0x25e1474170c4c0aA64fa98123bdc8dB49D7802fa,13836.0
Polkastarter,0x83e6f1e41cdd28eaceb20cb649155049fac3d5aa,34383.0
DODO,0x43dfc4159d86f3a37a5a4b3d4580b888ad7d4ddd,14344.0
APY.Finance,0x95a4492F028aa1fd432Ea71146b433E7B4446611,12932.0
Stella,0xa1faa113cbe53436df28ff0aee54275c13b40975,10068.0
SaTT,0xDF49C9F599A0A9049D97CFF34D0C30E468987389,14779.0
Aave,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,165687.0
Truebit,0xf65B5C5104c4faFD4b709d9D60a185eAE063276c,21582.0
Liquity,0x6DEA81C8171D0bA574754EF6F8b412F2Ed88c54D,13972.0
BarnBridge,0x0391D2021f89DC339F60Fff84546EA23E337750f,14982.0
Audius,0x18aaa7115705e8be94bffebde57af9bfc265b998,39489.0
Marlin,0x57b946008913b82e4df85f501cbaed910e58d26c,10708.0
Yield Protocol,0xa8B61CfF52564758A204F841E636265bEBC8db9B,10648.0
WOO,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,19096.0
Oraichain,0x4c11249814f11b9346808179cf06e71ac328c1b5,12493.0
unFederalReserve,0x5218E472cFCFE0b64A064F055B43b4cdC9EfD3A6,12448.0
Lattice Token,0xa393473d64d2F9F026B60b6Df7859A689715d092,13820.0
saffron.finance,0xb753428af26e81097e7fd17f40c88aaa3e04902c,13639.0
RFOX,0xa1d6df714f91debf4e0802a542e13067f31b8262,11205.0
Rook,0xfa5047c9c78b8877af97bdcb85db743fd7313d4a,16467.0
Folder Protocol,0xa8580f3363684d76055bdc6660caefe8709744e1,23117.0
e-Radix,0x6468e79A80C0eaB0F9A2B574c8d5bC374Af59414,14863.0
Experty Wisdom Token,0xDecade1c6Bf2cD9fb89aFad73e4a519C867adcF5,17421.0
API3,0x0b38210ea11411557c13457D4dA7dC6ea731B88a,22563.0
Mirror Protocol,0x09a3EcAFa817268f77BE1283176B946C4ff2E608,28584.0
Badger DAO,0x3472a5a71965499acd81997a54bba8d852c6e53d,31484.0
Efforce,0x34950ff2b487d9e5282c5ab342d08a2f712eb79f,10264.0
Lido DAO,0x5a98fcbea516cf06857215779fd812ca3bef1b32,43853.0
Tornado Cash,0x77777feddddffc19ff86db637967013e6c6a116c,10656.0
Rally,0xf1f955016EcbCd7321c7266BccFB96c68ea5E49b,19637.0
Tokenlon Network Token,0x0000000000095413afc295d19edeb1ad7b71c952,42403.0
Lido Staked ETH,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,321282.0
1inch Network,0x111111111117dc0aa78b770fa6a738034120c302,100538.0
OVR,0x21bfbda47a0b4b5b1248c767ee49f7caa9b23697,17811.0
Exeedme,0xee573a945b01b788b9287ce062a0cfc15be9fd86,11096.0
Bao Finance (old),0x374cb8c27130e2c9e04f44303f3c8351b9de61c1,13397.0
Shapeshift FOX Token,0xc770eefad204b5180df6a14ee197d99d808ee52d,38672.0
SuperVerse,0xe53ec727dbdeb9e2d5456c3be40cff031ab40a55,29214.0
PolkaBridge,0x298d492e8c1d909d3f63bc4a36c66c64acb3d695,13531.0
PAID Network,0x1614F18Fc94f47967A3Fbe5FfcD46d4e7Da3D787,15697.0
Bridge Mutual,0x725c263e32c72ddc3a19bea12c5a0479a81ee688,11602.0
Akita Inu,0x3301ee63fb29f863f2333bd4466acb46cd8323e6,60212.0
CLV,0x80C62FE4487E1351b47Ba49809EBD60ED085bf52,15488.0
Umbrella Network,0x6fc13eace26590b80cccab1ba5d51890577d83b2,10104.0
DAO Maker,0x0f51bb10119727a7e5ea3538074fb341f56b09ad,18475.0
JasmyCoin,0x7420B4b9a0110cdC71fB720908340C03F9Bc03EC,60395.0
Hoge Finance,0xfad45e47083e4607302aa43c65fb3106f1cd7607,67898.0
VAIOT,0xD13cfD3133239a3c73a9E535A5c4DadEE36b395c,12355.0
Luxurious Pro Network Token,0x6a4c76874e686a7d080d173987a35a9c48905583,17439.0
Mask Network,0x69af81e73a73b40adf4f3d4223cd9b1ece623074,13298.0
Fractal ID,0xf4d861575ecc9493420a3f5a14f85b13f0b50eb3,10163.0
Bounce Token,0xa9b1eb5908cfc3cdf91f9b8b3a74108598009096,14956.0
Alchemix,0xdbdb4d16eda451d0503b854cf79d55697f90c8df,13020.0
