,Name,Token Address
60,Agrello,0x07e3c70653548B04f0A75970C1F81B4CBbFB606f
61,Hiveterminal Token,0xC0Eb85285d83217CD7c891702bcbC0FC401E2D9D
62,Moeda Loyalty Points,0x51db5ad35c671a87207d88fc11d593ac0c8415bd
63,Decentraland,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
64,Indorse Token,0xf8e386eda857484f5a12e4b5daa9984e06e73705
65,XPA,0x90528aeb3a2b736b780fd1b6c478bb7e1d643170
66,Propy,0x226bb599a12c826476e3a771454697ea52e9e220
67,Chainlink,0x514910771af9ca656af840dff83e8264ecf986ca
68,Kyber Network Crystal Legacy,0xdd974d5c2e2928dea5f71b9825b8b646686bd200
69,VIBE,0xe8ff5c9c75deb346acac493c463c8950be03dfba
70,Substratum,0x8D75959f1E61EC2571aa72798237101F084DE63a
71,Rivetz,0x3d1ba9be9f66b8ee101911bc36d3fb562eac2244
72,SALT,0x4156D3342D5c385a87D264F90653733592000581
73,Ormeus Coin,0xc96df921009b790dffca412375251ed1a2b75c60
74,Cobinhood,0xb2f7eb1f2c37645be61d73953035360e768d81e6
75,Viberate,0x2c974b2d0ba1716e644c1fc59982a89ddd2ff724
76,Internxt,0x4a8f5f96d5436e43112c2fbc6a9f70da9e4e16d4
77,Everex,0xf3db5fa2c66b7af3eb0c0b782510816cbe4813b8
78,Cindicator,0xd4c435f5b09f855c3317c8524cb1f586e42795fa
79,Enigma,0xf0ee6b27b759c9893ce4f094b49ad28fd15a23e4
80,Zeusshield,0x7A41e0517a5ecA4FdbC7FbebA4D4c47B9fF6DC63
81,AirSwap,0x27054b13b1b798b345b591a4d22e6562d47ea75a
82,DomRaider,0x9af4f26941677c706cfecf6d3379ff01bb85d5ab
83,Request,0x8f8221afbb33998d8584a2b05749ba73c37a938a
84,Blue Protocol,0x539efe69bcdd21a83efd9122571a64cc25e0282b
85,KuCoin Token,0xf34960d9d60be18cc1d5afc1a6f012a723a28811
86,EXRNchain,0xe469c4473af82217b30cf17b10bcdb6c8c796e75
87,LATOKEN,0xe50365f5d679cb98a1dd62d6f6e58e59321bcddf
88,Ripio Credit Network,0xf970b8e36e23f7fc3fd752eea86f8be8d83375a6
89,JavaScript Token,0x5046e860ff274fb8c66106b0ffb8155849fb0787
90,iEthereum,0x859a9c0b44cb7066d956a958b0b82e54c9e44b4b
91,HOPE,0xac3211a5025414af2866ff09c23fc18bc97e79b1
92,Etherparty,0xea38eaa3c86c8f9b751533ba2e562deb9acded40
93,FlypMe,0x8f0921f30555624143d427b340b1156914882c10
94,iBTC,0xb7c4a82936194fee52a4e3d4cec3415f74507532
95,Powerledger,0x595832f8fc6bf59c85c527fec3740a1b7a361269
96,Revain,0x2ef52Ed7De8c5ce03a4eF0efbe9B7450F2D7Edc9
97,ATLANT,0x78b7fada55a64dd895d8c8c35779dd8b67fa8a05
98,Streamr,0x8f693ca8d21b157107184d29d398a8d082b38b76
99,ELTCOIN,0x44197a4c44d6a059297caf6be4f7e172bd56caaf
100,Autonio,0xc813EA5e3b48BEbeedb796ab42A30C5599b01740
101,Raiden Network Token,0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6
102,Delphy,0x6c2adc2073994fb2ccc5032cc2906fa221e9b391
103,ERC20,0xCDD981ef3330E159029e6E226dbD73d99F868f4d
104,Upfiring,0xea097a2b1db00627b2fa17460ad260c016016977
105,Privatix,0x3adfc4999f77d04c8341bac5f3a76f58dff5b37a
106,Paypex,0x62a56a4a2ef4d355d34d10fbf837e747504d38d4
107,EncrypGen,0xef6344de1fcfC5F48c30234C16c1389e8CdC572C
108,Quantstamp,0x99ea4db9ee77acd40b119bd1dc4e33e1c070b80d
109,QASH,0x618e75ac90b12c6049ba3b27f5d5f8651b0037f6
110,BLOCKv,0x340d2bde5eb28c1eed91b2f790723e3b160613b7
111,Flixxo,0xf04a8ac553fcedb5ba99a64799155826c136b0be
112,EventChain,0xb62d18dea74045e822352ce4b3ee77319dc5ff2f
113,Ccore,0x679badc551626e01b23ceecefbc9b877ea18fc46
114,Dragonchain,0x419c4db4b9e25d6db2ad9691ccb832c8d9fda05e
115,Presearch,0xEC213F83defB583af3A000B1c0ada660b1902A0F
116,BlockCDN,0x1e797Ce986C3CFF4472F7D38d5C4aba55DfEFE40
117,Cappasity,0x11613b1f840bb5A40F8866d857e24DA126B79D73
118,Eroscoin,0x74ceda77281b339142a36817fa5f9e29412bab85
119,Bonpay,0xcc34366e3842ca1bd36c1f324d15257960fcc801
120,Uquid Coin,0x8806926ab68eb5a7b909dcaf6fdbe5d93271d6e2
121,MediShares,0x66186008C1050627F979d464eABb258860563dbE
122,SmartMesh,0x55f93985431fc9304077687a35a1ba103dc1e081
123,Playkey,0x2604fa406be957e542beb89e6754fcde6815e83f
124,MicroMoney,0x8b1f49491477e0fb46a29fef53f1ea320d13c349
125,LockTrip,0x5e3346444010135322268a4630d2ed5f8d09446c
126,Worldcore,0x72adadb447784dd7ab1f472467750fc485e4cb2d
127,Genaro Network,0x6ec8a24cabdc339a06a172f8223ea557055adaa5
128,Starbase,0xf70a642bd387f94380ffb90451c2c81d4eb82cbc
129,OST,0x2c4e8f2d746113d0696ce89b35f0d8bf88e0aeca
130,StormX,0xa62cc35625b0c8dc1faea39d33625bb4c15bd71c
131,aelf,0xbf2179859fc6D5BEE9Bf9158632Dc51678a4100e
132,NAGA,0x72dd4b6bd852a3aa172be4d6c5a6dbec588cf131
133,Bread,0x558ec3152e2eb2174905cd19aea4e34a23de9ad6
134,Bibox Token,0x009c43b42aefac590c719e971020575974122803
135,Bounty0x,0xd2d6158683aee4cc838067727209a0aaf4359de3
136,SIRIN LABS Token,0x68d57c9a1c35f63e2c83ee8e49a64e9d70528d25
137,Neumark,0xa823e6722006afe99e91c30ff5295052fe6b8e32
138,xMoney,0xdc9Ac3C20D1ed0B540dF9b1feDC10039Df13F99c
139,HEROcoin,0xe477292f1b3268687a29376116b0ed27a9c76170
140,BigONE Token,0x946551dd05c5abd7cc808927480225ce36d8c475
141,Game.com,0xB70835D7822eBB9426B56543E391846C107bd32C
